station,condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
Dublin Airport,reference,persistence,17,145,10.431081512593105,16.50353952198654,10.431081512593105,16.50353952198654,,
Dublin Airport,reference,persistence,18,145,9.745120075448275,15.473878425927788,9.745120075448275,15.473878425927788,,
Dublin Airport,reference,persistence,19,145,9.315909144786207,15.029883762338844,9.315909144786207,15.029883762338844,,
Dublin Airport,reference,persistence,20,145,8.813077339737932,14.141105526781963,8.813077339737932,14.141105526781963,,
Dublin Airport,reference,persistence,21,145,9.35581017075862,15.141102678968496,9.35581017075862,15.141102678968496,,
Dublin Airport,reference,persistence,22,145,9.91295545175862,16.12365185888221,9.91295545175862,16.12365185888221,,
Dublin Airport,reference,persistence,23,145,10.201341206344829,17.190217462324608,10.201341206344829,17.190217462324608,,
Dublin Airport,reference,persistence,24,145,10.113923985013791,17.210122031351013,10.113923985013791,17.210122031351013,,
Dublin Airport,reference,sarima,1,145,3.6304604187825382,5.654914563192549,3.794534872779311,5.961886383154207,0.043239674821224,0.0514890422650508
Dublin Airport,reference,sarima,2,145,4.260790340092397,6.277494813295043,4.634532650255173,6.977297009161245,0.0806429338980271,0.1002970340731312
Dublin Airport,reference,sarima,3,145,4.921706991110208,7.046574591277273,5.68929183315862,8.803797795979595,0.1349174668057517,0.1995983148891479
Dublin Airport,reference,sarima,4,145,5.325206961248324,7.402685317223688,6.253511836110345,9.764232095901804,0.1484453694485085,0.2418568870018251
Dublin Airport,reference,sarima,5,145,5.650338106112006,7.573361257953461,6.758647862186208,10.209622430889194,0.1639839474808351,0.2582133855371311
Dublin Airport,reference,sarima,6,145,6.148821953025681,8.525369830528756,7.116513519524137,11.89590632398387,0.1359783219470596,0.2833358301300358
Dublin Airport,reference,sarima,7,145,7.470596400718231,9.857850142327358,7.695496123937931,12.17758462348938,0.0292248504316853,0.1904921667871213
Dublin Airport,reference,sarima,8,145,8.519863713381193,11.392889081264975,8.567829819524139,13.637409106868557,0.0055983962279038,0.1645855167953503
Dublin Airport,reference,sarima,9,145,9.713197387608488,13.448404275572605,9.52667603104138,15.84489183784287,-0.0195788495335993,0.1512466974717148
Dublin Airport,reference,sarima,10,145,10.234282115158496,13.851067573472733,9.84264285855862,15.803633824433035,-0.0397900505207631,0.1235517269415317
Dublin Airport,reference,sarima,11,145,10.67440468239588,14.881327138819106,10.453592287820689,16.573667304381473,-0.0211231114142893,0.1021101808357751
Dublin Airport,reference,sarima,12,145,11.023804985183496,14.848375045620688,10.57182933182069,16.505313771020163,-0.0427528329465536,0.1003881991209829
Dublin Airport,reference,sarima,13,145,11.583963665284632,15.454017018037195,10.72954833293793,16.420761800452667,-0.0796319943611967,0.0588733211140558
Dublin Airport,reference,sarima,14,145,12.160570638002248,16.151355962461853,11.082578466482758,17.032789914246248,-0.0972690763958659,0.0517492410945057
Dublin Airport,reference,sarima,15,145,11.905947966698136,16.435033923638226,10.772304537993104,17.450036290526633,-0.1052368529599916,0.0581662037825925
Dublin Airport,reference,sarima,16,145,12.381228690170223,18.10769267726444,11.640830450455171,18.98080294358208,-0.0636035584287806,0.0459996486404103
Dublin Airport,reference,sarima,17,145,10.836951590067404,14.92181775185147,10.431081512593105,16.50353952198654,-0.0389096832369977,0.0958413659098915
Dublin Airport,reference,sarima,18,145,10.428657583437554,13.796032585101228,9.745120075448275,15.473878425927788,-0.0701415172616879,0.1084308532510626
Dublin Airport,reference,sarima,19,145,10.68545824929647,13.863164550561674,9.315909144786207,15.029883762338844,-0.1470118571601519,0.0776266290695261
Dublin Airport,reference,sarima,20,145,9.79201973173147,12.40046284945721,8.813077339737932,14.141105526781963,-0.1110783843436291,0.1230909898825191
Dublin Airport,reference,sarima,21,145,10.630748200171524,14.618863784970058,9.35581017075862,15.141102678968496,-0.1362723276919075,0.0344914703421069
Dublin Airport,reference,sarima,22,145,11.040720407559627,15.603332247727232,9.91295545175862,16.12365185888221,-0.1137667733189435,0.0322705808652362
Dublin Airport,reference,sarima,23,145,11.268790510551696,16.88008509539439,10.201341206344829,17.190217462324608,-0.1046381336155051,0.0180412125448633
Dublin Airport,reference,sarima,24,145,10.979017669750291,16.509294888133773,10.113923985013791,17.210122031351013,-0.0855349205727018,0.0407217997606623
Dublin Airport,lags_meteo,xgboost_direct,1,145,3.9008357331147447,6.365916035152559,3.794534872779311,5.961886383154207,-0.0280142003959431,-0.0677687607633668
Dublin Airport,lags_meteo,xgboost_direct,2,145,3.885260197568125,6.442361284304317,4.634532650255173,6.977297009161245,0.1616716310426238,0.076668045541784
Dublin Airport,lags_meteo,xgboost_direct,3,145,4.409017927203457,6.0621887895481965,5.68929183315862,8.803797795979595,0.2250322084891841,0.3114120825995573
Dublin Airport,lags_meteo,xgboost_direct,4,145,5.072009754498632,7.277224890461505,6.253511836110345,9.764232095901804,0.1889341721221722,0.2547058673957714
Dublin Airport,lags_meteo,xgboost_direct,5,145,5.630575774026976,7.518615354834321,6.758647862186208,10.209622430889194,0.1669079542478687,0.2635755723848549
Dublin Airport,lags_meteo,xgboost_direct,6,145,5.547855179978924,7.631013482088404,7.116513519524137,11.89590632398387,0.2204251190195315,0.3585176888369424
Dublin Airport,lags_meteo,xgboost_direct,7,145,6.4782483784622364,8.926003281121215,7.695496123937931,12.17758462348938,0.1581766433081908,0.2670136519598624
Dublin Airport,lags_meteo,xgboost_direct,8,145,7.391284951229804,9.634089911243567,8.567829819524139,13.637409106868557,0.1373212228857833,0.2935542348442633
Dublin Airport,lags_meteo,xgboost_direct,9,145,9.118383448588869,11.761634845991669,9.52667603104138,15.84489183784287,0.0428578216706587,0.2577017901819326
Dublin Airport,lags_meteo,xgboost_direct,10,145,8.89929825554637,11.417815028749668,9.84264285855862,15.803633824433035,0.0958426122504251,0.2775196416473988
Dublin Airport,lags_meteo,xgboost_direct,11,145,9.616167042901834,12.374338635699049,10.453592287820689,16.573667304381473,0.0801088488877191,0.2533735347500475
Dublin Airport,lags_meteo,xgboost_direct,12,145,9.759022119861584,12.16510285137151,10.57182933182069,16.505313771020163,0.0768842540346914,0.2629584011464929
Dublin Airport,lags_meteo,xgboost_direct,13,145,9.739442219954654,13.168589814846046,10.72954833293793,16.420761800452667,0.0922784522013676,0.1980524427019561
Dublin Airport,lags_meteo,xgboost_direct,14,145,9.303635561669507,12.197741509117169,11.082578466482758,17.032789914246248,0.1605170592920537,0.2838670839875175
Dublin Airport,lags_meteo,xgboost_direct,15,145,9.49436416955891,12.843112668914891,10.772304537993104,17.450036290526633,0.1186320312359342,0.2640065352822659
Dublin Airport,lags_meteo,xgboost_direct,16,145,9.786079454116548,14.229286687869012,11.640830450455171,18.98080294358208,0.1593315016684312,0.2503327319627267
Dublin Airport,lags_meteo,xgboost_direct,17,145,8.79832904746449,11.383484701404962,10.431081512593105,16.50353952198654,0.1565276297723725,0.310239801211157
Dublin Airport,lags_meteo,xgboost_direct,18,145,8.22348572716683,11.771528377998672,9.745120075448275,15.473878425927788,0.1561432118332776,0.2392645170150436
Dublin Airport,lags_meteo,xgboost_direct,19,145,7.587850111906465,11.247651671775216,9.315909144786207,15.029883762338844,0.1854954794022306,0.2516474611760446
Dublin Airport,lags_meteo,xgboost_direct,20,145,7.267382189066572,10.00965832958783,8.813077339737932,14.141105526781963,0.1753865410555132,0.292158713430824
Dublin Airport,lags_meteo,xgboost_direct,21,145,8.12625931533768,12.18530019018763,9.35581017075862,15.141102678968496,0.1314210990795724,0.1952171219924804
Dublin Airport,lags_meteo,xgboost_direct,22,145,7.908783464983661,11.998244576993988,9.91295545175862,16.12365185888221,0.2021770395850418,0.2558606026720685
Dublin Airport,lags_meteo,xgboost_direct,23,145,8.290204923541582,13.333608247890815,10.201341206344829,17.190217462324608,0.1873416685263498,0.2243490649775799
Dublin Airport,lags_meteo,xgboost_direct,24,145,8.315114286362151,13.195712903047877,10.113923985013791,17.210122031351013,0.1778547773660361,0.2332586091481654
Dublin Airport,lags_only,xgboost_direct,1,145,4.15333201204278,7.028641887848691,3.794534872779311,5.961886383154207,-0.0945562898465781,-0.1789291905509451
Dublin Airport,lags_only,xgboost_direct,2,145,4.292043613448526,7.620382427037742,4.634532650255173,6.977297009161245,0.0738993686424434,-0.0921682733345192
Dublin Airport,lags_only,xgboost_direct,3,145,4.998503543179585,7.071966667779626,5.68929183315862,8.803797795979595,0.1214190289822975,0.1967140963858619
Dublin Airport,lags_only,xgboost_direct,4,145,5.279875655102799,7.552539018886784,6.253511836110345,9.764232095901804,0.1556943052998429,0.2265096789273681
Dublin Airport,lags_only,xgboost_direct,5,145,5.705663517588819,8.204978443135275,6.758647862186208,10.209622430889194,0.1557980776730068,0.196348493915786
Dublin Airport,lags_only,xgboost_direct,6,145,5.720287393076074,7.479865327191363,7.116513519524137,11.89590632398387,0.1961952468181954,0.3712235853681134
Dublin Airport,lags_only,xgboost_direct,7,145,6.842088380357746,8.799795515337209,7.695496123937931,12.17758462348938,0.1108970402734061,0.2773775927318742
Dublin Airport,lags_only,xgboost_direct,8,145,7.6272667144775905,10.0151243102875,8.567829819524139,13.637409106868557,0.1097784532208165,0.2656138543762445
Dublin Airport,lags_only,xgboost_direct,9,145,9.350382521077822,11.7892427342419,9.52667603104138,15.84489183784287,0.0185052487760818,0.2559594060411779
Dublin Airport,lags_only,xgboost_direct,10,145,9.219223785223868,11.301989087670428,9.84264285855862,15.803633824433035,0.063338585204548,0.2848487118072104
Dublin Airport,lags_only,xgboost_direct,11,145,9.933388081420343,12.238428192294924,10.453592287820689,16.573667304381473,0.0497632002547512,0.2615739191856754
Dublin Airport,lags_only,xgboost_direct,12,145,9.875511446334848,11.969914084057006,10.57182933182069,16.505313771020163,0.0658654111441204,0.2747842149433328
Dublin Airport,lags_only,xgboost_direct,13,145,9.75671759481152,12.11148394394443,10.72954833293793,16.420761800452667,0.090668377450706,0.2624286198700869
Dublin Airport,lags_only,xgboost_direct,14,145,9.621012012015091,11.80259353985664,11.082578466482758,17.032789914246248,0.1318796396423365,0.3070663350350529
Dublin Airport,lags_only,xgboost_direct,15,145,9.458104111574334,12.322177472818264,10.772304537993104,17.450036290526633,0.121998075879092,0.2938594930310951
Dublin Airport,lags_only,xgboost_direct,16,145,9.876833023152177,13.911596537576992,11.640830450455171,18.98080294358208,0.1515353595098552,0.2670701772244637
Dublin Airport,lags_only,xgboost_direct,17,145,9.05085268887666,11.329903405030066,10.431081512593105,16.50353952198654,0.1323188609014451,0.3134864560456253
Dublin Airport,lags_only,xgboost_direct,18,145,8.06330806750728,10.079492484186783,9.745120075448275,15.473878425927788,0.1725799164012489,0.3486124029966693
Dublin Airport,lags_only,xgboost_direct,19,145,7.62884016589813,9.577704926118768,9.315909144786207,15.029883762338844,0.1810954736320363,0.3627558883643453
Dublin Airport,lags_only,xgboost_direct,20,145,7.67942927591076,9.25221032876022,8.813077339737932,14.141105526781963,0.1286324878502521,0.3457222767175184
Dublin Airport,lags_only,xgboost_direct,21,145,8.684592361778988,12.019948120115172,9.35581017075862,15.141102678968496,0.071743418980166,0.2061378636041292
Dublin Airport,lags_only,xgboost_direct,22,145,8.228959138269929,12.163596692016071,9.91295545175862,16.12365185888221,0.1698783295944238,0.2456053505449894
Dublin Airport,lags_only,xgboost_direct,23,145,8.674718452227179,13.672743086104894,10.201341206344829,17.190217462324608,0.1496492199641504,0.2046207026716723
Dublin Airport,lags_only,xgboost_direct,24,145,8.48384169995307,13.584474757092451,10.113923985013791,17.210122031351013,0.1611720918088846,0.2106694692608141
Dundalk Co Louth,reference,persistence,1,151,5.584263686490065,9.387431054741484,5.584263686490065,9.387431054741484,,
Dundalk Co Louth,reference,persistence,2,150,6.6240178834000005,11.206530836969776,6.6240178834000005,11.206530836969776,,
Dundalk Co Louth,reference,persistence,3,151,7.082185827880795,12.117008571615909,7.082185827880795,12.117008571615909,,
Dundalk Co Louth,reference,persistence,4,151,7.543250468145695,12.895993328722856,7.543250468145695,12.895993328722856,,
Dundalk Co Louth,reference,persistence,5,151,8.378960518543048,13.514551401978432,8.378960518543048,13.514551401978432,,
Dundalk Co Louth,reference,persistence,6,152,9.039837473289474,14.22488186118687,9.039837473289474,14.22488186118687,,
Dundalk Co Louth,reference,persistence,7,152,9.33416740006579,14.70491877417474,9.33416740006579,14.70491877417474,,
Dundalk Co Louth,reference,persistence,8,152,9.326347622302633,14.633800597597872,9.326347622302633,14.633800597597872,,
Dundalk Co Louth,reference,persistence,9,152,9.027395780131576,14.113848605133349,9.027395780131576,14.113848605133349,,
Dundalk Co Louth,reference,persistence,10,153,9.303012733202614,14.373279686670056,9.303012733202614,14.373279686670056,,
