station,horizon,n_origins_lags_only,n_origins_lags_meteo,n_origins_common,first_date,last_date,n_months,months,coverage_pct,exclusion_reason
Dundalk Co Louth,11,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,12,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,13,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,14,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,15,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,16,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,17,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,18,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,19,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,20,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,21,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,22,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,23,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,24,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Madrid Casa de Campo,1,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,2,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,3,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,4,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,5,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,6,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
