condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
reference,sarima,10,348,8.435944690619065,11.602967076552565,7.968390804597701,11.404904167964752,-0.05867607368749894,-0.017366468465745744
reference,sarima,11,348,8.950498315305195,12.82908791465209,8.100574712643677,12.229016746031245,-0.10492139543320622,-0.049069453504149374
reference,sarima,12,346,9.27046906281484,13.21661628539761,8.228323699421965,12.20122707749232,-0.1266534231590919,-0.08322025329553817
reference,sarima,13,346,8.984311501411112,12.180614359205045,7.76878612716763,11.385011950359411,-0.1564627155834244,-0.06988156115378663
reference,sarima,14,345,8.509652126029962,11.461446681610255,7.56231884057971,10.955377211902494,-0.1252702121427125,-0.046193705604033575
reference,sarima,15,344,8.897960753167316,12.980179871742518,8.19767441860465,12.52857199680274,-0.0854249996771479,-0.036046236957813615
reference,sarima,16,349,8.327132391638218,12.396237527878414,8.160458452722063,12.496188530655909,-0.02042458029555405,0.007998519111030777
reference,sarima,17,350,8.07596066932162,12.58997456000153,8.222857142857142,12.895624950235753,0.01786440783093557,0.023701867215720762
reference,sarima,18,352,7.830173157509114,12.83680919854716,7.9147727272727275,13.08212694689,0.01068881857745585,0.01875213024141764
reference,sarima,19,352,7.568792398151024,11.856943347239284,7.349431818181818,12.180811101519845,-0.02984728417052973,0.026588357013446418
reference,sarima,20,353,7.645150504818594,11.665896652902715,7.317280453257791,11.970099670386213,-0.04480763770846452,0.025413574311005216
reference,sarima,21,354,8.106022592880068,11.94068934260141,7.019774011299435,11.87874234816175,-0.15474124663160715,-0.005214945540867433
reference,sarima,22,357,8.686386210842338,12.411192781850062,7.30532212885154,11.982947734784034,-0.1890490326958263,-0.035737871560844736
reference,sarima,23,357,9.259389199075208,13.11435778917481,7.453781512605042,12.42580219640123,-0.2422404900675872,-0.0554133714580618
reference,sarima,24,354,9.582806267234206,13.530822588406847,7.5875706214689265,12.674321207823954,-0.26296106425945975,-0.06757769244905742
lags_meteo,xgboost_direct,1,354,3.4992172159044084,5.002629343558434,3.632768361581921,5.081816482032989,0.03676291257374764,0.015582447487925921
lags_meteo,xgboost_direct,2,350,4.047862888744899,6.020122810331628,4.3342857142857145,6.1400325732035,0.06608305137724801,0.01952917373682761
lags_meteo,xgboost_direct,3,353,3.965973952674325,5.599754388900658,4.356940509915014,6.077404396009415,0.08973419681792139,0.07859440905765536
lags_meteo,xgboost_direct,4,354,4.000185397721953,5.62206632816554,4.5423728813559325,6.555284235822988,0.11936216990449544,0.1423611660586196
lags_meteo,xgboost_direct,5,355,4.1934270180447,5.836665203367498,5.149295774647888,7.172718266037197,0.18563096750226016,0.1862687217196174
lags_meteo,xgboost_direct,6,356,4.153433444459787,6.046557049870543,5.480337078651686,7.596754185657409,0.24212080664905988,0.20406045765092962
lags_meteo,xgboost_direct,7,356,4.36239083412658,6.257779361674425,5.581460674157303,7.956518068557433,0.21841412332709487,0.2135027775021442
lags_meteo,xgboost_direct,8,354,4.568505143546789,6.233446178406447,5.830508474576271,8.170845235617108,0.21644824572889376,0.23711121693572723
lags_meteo,xgboost_direct,9,354,5.583455295886024,7.65880296196499,7.0423728813559325,9.709480485558176,0.20716278590306758,0.21120362996180397
lags_meteo,xgboost_direct,10,348,6.863291312223193,9.427809715160512,7.968390804597701,11.404904167964752,0.13868540329835144,0.17335476245014858
lags_meteo,xgboost_direct,11,348,7.901095720543259,11.021746114286609,8.100574712643677,12.229016746031245,0.02462528884389703,0.09872180706077116
lags_meteo,xgboost_direct,12,346,8.074459620982925,11.434179160671913,8.228323699421965,12.20122707749232,0.01869932249382089,0.06286645695131632
lags_meteo,xgboost_direct,13,346,7.752249867240818,10.436665172698664,7.76878612716763,11.385011950359411,0.0021285513149840174,0.0832978289171501
lags_meteo,xgboost_direct,14,345,7.49411516001691,9.91128995952227,7.56231884057971,10.955377211902494,0.009018884551232675,0.0953036332921402
lags_meteo,xgboost_direct,15,344,8.004876656587733,11.338049312554359,8.19767441860465,12.52857199680274,0.023518592246035364,0.09502461130863105
lags_meteo,xgboost_direct,16,349,8.010378479616007,11.853533620994448,8.160458452722063,12.496188530655909,0.01839112029986434,0.05142807409514405
lags_meteo,xgboost_direct,17,350,8.216774390084403,12.73039495921324,8.222857142857142,12.895624950235753,0.0007397371335854386,0.012812871936035308
lags_meteo,xgboost_direct,18,352,8.36188636652448,13.904890988659888,7.9147727272727275,13.08212694689,-0.056491026926280385,-0.06289222273335926
lags_meteo,xgboost_direct,19,352,7.6446521871469235,12.761480141835005,7.349431818181818,12.180811101519845,-0.04016914181512066,-0.047670802500394016
lags_meteo,xgboost_direct,20,353,7.4218732324605625,12.867267392266982,7.317280453257791,11.970099670386213,-0.014293941563522372,-0.07495073112050554
lags_meteo,xgboost_direct,21,354,7.3130118498357675,12.911793291718533,7.019774011299435,11.87874234816175,-0.04177311663656402,-0.08696635664605101
lags_meteo,xgboost_direct,22,357,7.407007576704693,12.875968348932394,7.30532212885154,11.982947734784034,-0.013919365369469139,-0.07452428516867382
