horizon,n,dm_stat,p_value,mean_loss_diff,favours,station,p_HLN,p_raw,p_BH,p_Bonferroni,decision_raw,decision_BH,decision_Bonferroni
1,143,-0.9970645677767676,0.32042919114782187,-5.602429423457764,lags_only,Dundalk Co Louth,0.32042919114782187,0.32042919114782187,0.19171463588859425,1.0,False,False,False
6,143,-0.8444534093148152,0.3998365451789101,-12.626914924747137,lags_only,Dundalk Co Louth,0.3998365451789101,0.3998365451789101,0.19171463588859425,1.0,False,False,False
12,143,-0.12761578708384275,0.8986335820011913,-0.7687579161834868,lags_only,Dundalk Co Louth,0.8986335820011913,0.8986335820011913,0.19171463588859425,1.0,False,False,False
1,212,2.0968028304612223,0.03720240656815575,7.072254090430927,lags_meteo,Pearse street dublin,0.03720240656815575,0.03720240656815575,0.19171463588859425,1.0,True,False,False
6,212,1.8074315192053214,0.07211927850507184,5.111395946103312,lags_meteo,Pearse street dublin,0.07211927850507184,0.07211927850507184,0.19171463588859425,1.0,False,False,False
12,212,2.494002116450475,0.013398972266456926,13.60008292479121,lags_meteo,Pearse street dublin,0.013398972266456926,0.013398972266456926,0.19171463588859425,0.44216608479307856,True,False,False
24,212,0.8012651949204724,0.4238795099472319,20.7288933320717,lags_meteo,Pearse street dublin,0.4238795099472319,0.4238795099472319,0.19171463588859425,1.0,False,False,False
1,211,1.3769950827330386,0.169979856306531,4.3939610207927045,lags_meteo,Ringsend dublin,0.169979856306531,0.169979856306531,0.19171463588859425,1.0,False,False,False
6,211,-0.41075613935767297,0.6816701701901388,-1.989607954103719,lags_only,Ringsend dublin,0.6816701701901388,0.6816701701901388,0.19171463588859425,1.0,False,False,False
12,211,0.42894157969747343,0.6684054350332496,14.96878561150739,lags_meteo,Ringsend dublin,0.6684054350332496,0.6684054350332496,0.19171463588859425,1.0,False,False,False
24,211,0.5115697360534921,0.6094896603531729,2.3331401617012357,lags_meteo,Ringsend dublin,0.6094896603531729,0.6094896603531729,0.19171463588859425,1.0,False,False,False
1,199,-0.10185084436649201,0.918978137177408,-1.3589602469078872,lags_only,edenderry co offlay,0.918978137177408,0.918978137177408,0.19171463588859425,1.0,False,False,False
6,199,0.9191538298505236,0.3591334994598906,6.312064249382259,lags_meteo,edenderry co offlay,0.3591334994598906,0.3591334994598906,0.19171463588859425,1.0,False,False,False
12,199,-0.34852204025145234,0.7278184628726103,-2.7574435343951573,lags_only,edenderry co offlay,0.7278184628726103,0.7278184628726103,0.19171463588859425,1.0,False,False,False
24,199,0.8703374190181401,0.38516996956215777,36.26408652680279,lags_meteo,edenderry co offlay,0.38516996956215777,0.38516996956215777,0.19171463588859425,1.0,False,False,False
1,204,-1.1221794201209774,0.26311171676242523,-4.872397269645395,lags_only,henry street Limerick,0.26311171676242523,0.26311171676242523,0.19171463588859425,1.0,False,False,False
6,204,-1.9897316209910454,0.04796274222137011,-6.269968320316649,lags_only,henry street Limerick,0.04796274222137011,0.04796274222137011,0.19171463588859425,1.0,True,False,False
12,204,-0.8625572586409285,0.3893987838361266,-8.904781957603612,lags_only,henry street Limerick,0.3893987838361266,0.3893987838361266,0.19171463588859425,1.0,False,False,False
1,212,1.0464975498340021,0.2965287007609537,0.9259486856350606,lags_meteo,porrlaoise co laois,0.2965287007609537,0.2965287007609537,0.19171463588859425,1.0,False,False,False
6,212,0.5726985721596209,0.5674585560477714,0.383149181675211,lags_meteo,porrlaoise co laois,0.5674585560477714,0.5674585560477714,0.19171463588859425,1.0,False,False,False
12,212,2.2861519731338795,0.02323813768346597,5.838484317878025,lags_meteo,porrlaoise co laois,0.02323813768346597,0.02323813768346597,0.19171463588859425,0.766858543554377,True,False,False
