condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
lags_only,xgboost_direct,3,2,11.425189018249512,11.849211768167628,10.0,12.206555615733702,-0.142518901824951,0.0292747486527218
lags_only,xgboost_direct,4,2,9.187941551208496,9.783421763944348,8.5,11.335784048754634,-0.080934300142176,0.1369435301637412
lags_only,xgboost_direct,5,2,6.397479057312012,6.814698766263668,11.0,11.704699910719626,0.4184109947898171,0.4177809924009672
lags_only,xgboost_direct,6,2,6.799424171447754,7.067472219843248,13.0,13.601470508735444,0.4769673714270959,0.4803891082729462
lags_only,xgboost_direct,7,2,3.1464157104492188,3.714577709483214,13.5,13.729530217745982,0.7669321695963541,0.7294461171962046
lags_only,xgboost_direct,8,2,2.2876806259155273,2.3554352275285884,17.5,17.67766952966369,0.869275392804827,0.8667564622375086
lags_only,xgboost_direct,9,2,1.7507977485656738,2.2895053440070776,17.0,17.26267650163207,0.8970118971431956,0.8673725164350603
lags_only,xgboost_direct,10,2,7.323160171508789,9.683221526683948,20.0,20.024984394500787,0.6338419914245605,0.5164429926176057
lags_only,xgboost_direct,11,2,11.07668399810791,11.163749377446544,18.5,19.300259065618786,0.4012603244265994,0.4215751540178291
lags_only,xgboost_direct,12,2,13.33041000366211,13.333891082179578,20.0,20.396078054371134,0.3334794998168945,0.3462522036523606
lags_only,xgboost_direct,13,2,8.739829063415527,9.848418423115351,14.5,16.32482771731451,0.3972531680403084,0.3967214482349556
lags_only,xgboost_direct,14,2,8.15690803527832,8.970542658023062,15.5,17.219175357722563,0.4737478686917212,0.4790376152363245
lags_only,xgboost_direct,15,2,8.641660690307617,11.133004582804702,15.0,18.027756377319943,0.4238892873128255,0.3824520173341856
lags_only,xgboost_direct,16,2,9.707091331481934,13.335380437041431,18.0,20.591260281974,0.4607171482510037,0.3523766756173011
lags_only,xgboost_direct,17,2,12.41005516052246,12.44224171388205,21.5,21.64486082191336,0.4227881320687228,0.4251641617725042
lags_only,xgboost_direct,18,2,12.13767147064209,12.734743333460775,21.0,21.587033144922906,0.4220156442551386,0.4100744067993481
lags_only,xgboost_direct,19,2,9.504451751708984,11.124831034775156,17.0,19.235384061671343,0.440914602840648,0.4216475741213491
lags_only,xgboost_direct,20,2,7.72370719909668,8.950080522048586,14.5,17.334935823359714,0.4673305379933324,0.4836969335653441
lags_only,xgboost_direct,21,2,4.130451202392578,4.209830804007506,11.5,14.300349646075093,0.6408303302267324,0.7056134354614927
lags_only,xgboost_direct,22,2,3.8587703704833984,4.2858583652730955,8.5,10.124228365658292,0.5460270152372473,0.5766730845571536
lags_only,xgboost_direct,23,2,5.481605529785156,6.751474785407953,10.5,11.423659658795865,0.4779423304966518,0.4089919529238139
lags_only,xgboost_direct,24,2,6.095747947692871,6.953443237592967,11.5,12.747548783981962,0.4699349610701852,0.4545270345362103
