origin,train_start_config,xgboost_train_end_effective,xgboost_n_train_rows_nominal_hourly,sarima_n_train_rows_used,sarima_capped_at_17520,sarima_train_start_effective
2023-05-07,2019-01-01,2023-05-06T23:00:00,38088,17520,True,2021-05-07T00:00:00
2023-05-08,2019-01-01,2023-05-07T23:00:00,38112,17520,True,2021-05-08T00:00:00
2023-05-09,2019-01-01,2023-05-08T23:00:00,38136,17520,True,2021-05-09T00:00:00
2023-05-10,2019-01-01,2023-05-09T23:00:00,38160,17520,True,2021-05-10T00:00:00
2023-05-11,2019-01-01,2023-05-10T23:00:00,38184,17520,True,2021-05-11T00:00:00
2023-05-12,2019-01-01,2023-05-11T23:00:00,38208,17520,True,2021-05-12T00:00:00
2023-05-13,2019-01-01,2023-05-12T23:00:00,38232,17520,True,2021-05-13T00:00:00
2023-05-14,2019-01-01,2023-05-13T23:00:00,38256,17520,True,2021-05-14T00:00:00
2023-05-15,2019-01-01,2023-05-14T23:00:00,38280,17520,True,2021-05-15T00:00:00
2023-05-16,2019-01-01,2023-05-15T23:00:00,38304,17520,True,2021-05-16T00:00:00
2023-05-17,2019-01-01,2023-05-16T23:00:00,38328,17520,True,2021-05-17T00:00:00
2023-05-18,2019-01-01,2023-05-17T23:00:00,38352,17520,True,2021-05-18T00:00:00
2023-05-19,2019-01-01,2023-05-18T23:00:00,38376,17520,True,2021-05-19T00:00:00
2023-05-20,2019-01-01,2023-05-19T23:00:00,38400,17520,True,2021-05-20T00:00:00
2023-05-21,2019-01-01,2023-05-20T23:00:00,38424,17520,True,2021-05-21T00:00:00
2023-05-22,2019-01-01,2023-05-21T23:00:00,38448,17520,True,2021-05-22T00:00:00
2023-05-23,2019-01-01,2023-05-22T23:00:00,38472,17520,True,2021-05-23T00:00:00
2023-05-24,2019-01-01,2023-05-23T23:00:00,38496,17520,True,2021-05-24T00:00:00
2023-05-25,2019-01-01,2023-05-24T23:00:00,38520,17520,True,2021-05-25T00:00:00
2023-05-26,2019-01-01,2023-05-25T23:00:00,38544,17520,True,2021-05-26T00:00:00
2023-05-27,2019-01-01,2023-05-26T23:00:00,38568,17520,True,2021-05-27T00:00:00
2023-05-28,2019-01-01,2023-05-27T23:00:00,38592,17520,True,2021-05-28T00:00:00
2023-05-29,2019-01-01,2023-05-28T23:00:00,38616,17520,True,2021-05-29T00:00:00
2023-05-30,2019-01-01,2023-05-29T23:00:00,38640,17520,True,2021-05-30T00:00:00
2023-05-31,2019-01-01,2023-05-30T23:00:00,38664,17520,True,2021-05-31T00:00:00
2023-06-01,2019-01-01,2023-05-31T23:00:00,38688,17520,True,2021-06-01T00:00:00
2023-06-02,2019-01-01,2023-06-01T23:00:00,38712,17520,True,2021-06-02T00:00:00
2023-06-03,2019-01-01,2023-06-02T23:00:00,38736,17520,True,2021-06-03T00:00:00
2023-06-04,2019-01-01,2023-06-03T23:00:00,38760,17520,True,2021-06-04T00:00:00
2023-06-05,2019-01-01,2023-06-04T23:00:00,38784,17520,True,2021-06-05T00:00:00
2023-06-06,2019-01-01,2023-06-05T23:00:00,38808,17520,True,2021-06-06T00:00:00
2023-06-07,2019-01-01,2023-06-06T23:00:00,38832,17520,True,2021-06-07T00:00:00
2023-06-08,2019-01-01,2023-06-07T23:00:00,38856,17520,True,2021-06-08T00:00:00
2023-06-09,2019-01-01,2023-06-08T23:00:00,38880,17520,True,2021-06-09T00:00:00
2023-06-10,2019-01-01,2023-06-09T23:00:00,38904,17520,True,2021-06-10T00:00:00
2023-06-11,2019-01-01,2023-06-10T23:00:00,38928,17520,True,2021-06-11T00:00:00
2023-06-12,2019-01-01,2023-06-11T23:00:00,38952,17520,True,2021-06-12T00:00:00
2023-06-13,2019-01-01,2023-06-12T23:00:00,38976,17520,True,2021-06-13T00:00:00
2023-06-14,2019-01-01,2023-06-13T23:00:00,39000,17520,True,2021-06-14T00:00:00
2023-06-15,2019-01-01,2023-06-14T23:00:00,39024,17520,True,2021-06-15T00:00:00
2023-06-16,2019-01-01,2023-06-15T23:00:00,39048,17520,True,2021-06-16T00:00:00
2023-06-17,2019-01-01,2023-06-16T23:00:00,39072,17520,True,2021-06-17T00:00:00
2023-06-18,2019-01-01,2023-06-17T23:00:00,39096,17520,True,2021-06-18T00:00:00
2023-06-19,2019-01-01,2023-06-18T23:00:00,39120,17520,True,2021-06-19T00:00:00
2023-06-20,2019-01-01,2023-06-19T23:00:00,39144,17520,True,2021-06-20T00:00:00
2023-06-21,2019-01-01,2023-06-20T23:00:00,39168,17520,True,2021-06-21T00:00:00
2023-06-22,2019-01-01,2023-06-21T23:00:00,39192,17520,True,2021-06-22T00:00:00
2023-06-23,2019-01-01,2023-06-22T23:00:00,39216,17520,True,2021-06-23T00:00:00
2023-06-24,2019-01-01,2023-06-23T23:00:00,39240,17520,True,2021-06-24T00:00:00
2023-06-25,2019-01-01,2023-06-24T23:00:00,39264,17520,True,2021-06-25T00:00:00
2023-06-26,2019-01-01,2023-06-25T23:00:00,39288,17520,True,2021-06-26T00:00:00
2023-06-27,2019-01-01,2023-06-26T23:00:00,39312,17520,True,2021-06-27T00:00:00
2023-06-28,2019-01-01,2023-06-27T23:00:00,39336,17520,True,2021-06-28T00:00:00
2023-06-29,2019-01-01,2023-06-28T23:00:00,39360,17520,True,2021-06-29T00:00:00
2023-06-30,2019-01-01,2023-06-29T23:00:00,39384,17520,True,2021-06-30T00:00:00
2023-07-01,2019-01-01,2023-06-30T23:00:00,39408,17520,True,2021-07-01T00:00:00
2023-07-02,2019-01-01,2023-07-01T23:00:00,39432,17520,True,2021-07-02T00:00:00
2023-07-03,2019-01-01,2023-07-02T23:00:00,39456,17520,True,2021-07-03T00:00:00
2023-07-04,2019-01-01,2023-07-03T23:00:00,39480,17520,True,2021-07-04T00:00:00
2023-07-05,2019-01-01,2023-07-04T23:00:00,39504,17520,True,2021-07-05T00:00:00
2023-07-06,2019-01-01,2023-07-05T23:00:00,39528,17520,True,2021-07-06T00:00:00
2023-07-07,2019-01-01,2023-07-06T23:00:00,39552,17520,True,2021-07-07T00:00:00
2023-07-08,2019-01-01,2023-07-07T23:00:00,39576,17520,True,2021-07-08T00:00:00
2023-07-09,2019-01-01,2023-07-08T23:00:00,39600,17520,True,2021-07-09T00:00:00
2023-07-10,2019-01-01,2023-07-09T23:00:00,39624,17520,True,2021-07-10T00:00:00
2023-07-11,2019-01-01,2023-07-10T23:00:00,39648,17520,True,2021-07-11T00:00:00
2023-07-12,2019-01-01,2023-07-11T23:00:00,39672,17520,True,2021-07-12T00:00:00
2023-07-13,2019-01-01,2023-07-12T23:00:00,39696,17520,True,2021-07-13T00:00:00
2023-07-14,2019-01-01,2023-07-13T23:00:00,39720,17520,True,2021-07-14T00:00:00
2023-07-15,2019-01-01,2023-07-14T23:00:00,39744,17520,True,2021-07-15T00:00:00
2023-07-16,2019-01-01,2023-07-15T23:00:00,39768,17520,True,2021-07-16T00:00:00
2023-07-17,2019-01-01,2023-07-16T23:00:00,39792,17520,True,2021-07-17T00:00:00
2023-07-18,2019-01-01,2023-07-17T23:00:00,39816,17520,True,2021-07-18T00:00:00
2023-07-19,2019-01-01,2023-07-18T23:00:00,39840,17520,True,2021-07-19T00:00:00
2023-07-20,2019-01-01,2023-07-19T23:00:00,39864,17520,True,2021-07-20T00:00:00
2023-07-21,2019-01-01,2023-07-20T23:00:00,39888,17520,True,2021-07-21T00:00:00
2023-07-22,2019-01-01,2023-07-21T23:00:00,39912,17520,True,2021-07-22T00:00:00
2023-07-23,2019-01-01,2023-07-22T23:00:00,39936,17520,True,2021-07-23T00:00:00
2023-07-24,2019-01-01,2023-07-23T23:00:00,39960,17520,True,2021-07-24T00:00:00
2023-07-25,2019-01-01,2023-07-24T23:00:00,39984,17520,True,2021-07-25T00:00:00
2023-07-26,2019-01-01,2023-07-25T23:00:00,40008,17520,True,2021-07-26T00:00:00
2023-07-27,2019-01-01,2023-07-26T23:00:00,40032,17520,True,2021-07-27T00:00:00
2023-07-28,2019-01-01,2023-07-27T23:00:00,40056,17520,True,2021-07-28T00:00:00
2023-07-29,2019-01-01,2023-07-28T23:00:00,40080,17520,True,2021-07-29T00:00:00
2023-07-30,2019-01-01,2023-07-29T23:00:00,40104,17520,True,2021-07-30T00:00:00
2023-07-31,2019-01-01,2023-07-30T23:00:00,40128,17520,True,2021-07-31T00:00:00
2023-08-01,2019-01-01,2023-07-31T23:00:00,40152,17520,True,2021-08-01T00:00:00
2023-08-02,2019-01-01,2023-08-01T23:00:00,40176,17520,True,2021-08-02T00:00:00
2023-08-03,2019-01-01,2023-08-02T23:00:00,40200,17520,True,2021-08-03T00:00:00
2023-08-04,2019-01-01,2023-08-03T23:00:00,40224,17520,True,2021-08-04T00:00:00
2023-08-05,2019-01-01,2023-08-04T23:00:00,40248,17520,True,2021-08-05T00:00:00
2023-08-06,2019-01-01,2023-08-05T23:00:00,40272,17520,True,2021-08-06T00:00:00
2023-08-07,2019-01-01,2023-08-06T23:00:00,40296,17520,True,2021-08-07T00:00:00
2023-08-08,2019-01-01,2023-08-07T23:00:00,40320,17520,True,2021-08-08T00:00:00
2023-08-09,2019-01-01,2023-08-08T23:00:00,40344,17520,True,2021-08-09T00:00:00
2023-08-10,2019-01-01,2023-08-09T23:00:00,40368,17520,True,2021-08-10T00:00:00
2023-08-11,2019-01-01,2023-08-10T23:00:00,40392,17520,True,2021-08-11T00:00:00
2023-08-12,2019-01-01,2023-08-11T23:00:00,40416,17520,True,2021-08-12T00:00:00
2023-08-13,2019-01-01,2023-08-12T23:00:00,40440,17520,True,2021-08-13T00:00:00
2023-08-14,2019-01-01,2023-08-13T23:00:00,40464,17520,True,2021-08-14T00:00:00
2023-08-15,2019-01-01,2023-08-14T23:00:00,40488,17520,True,2021-08-15T00:00:00
2023-08-16,2019-01-01,2023-08-15T23:00:00,40512,17520,True,2021-08-16T00:00:00
2023-08-17,2019-01-01,2023-08-16T23:00:00,40536,17520,True,2021-08-17T00:00:00
2023-08-18,2019-01-01,2023-08-17T23:00:00,40560,17520,True,2021-08-18T00:00:00
2023-08-19,2019-01-01,2023-08-18T23:00:00,40584,17520,True,2021-08-19T00:00:00
2023-08-20,2019-01-01,2023-08-19T23:00:00,40608,17520,True,2021-08-20T00:00:00
2023-08-21,2019-01-01,2023-08-20T23:00:00,40632,17520,True,2021-08-21T00:00:00
2023-08-22,2019-01-01,2023-08-21T23:00:00,40656,17520,True,2021-08-22T00:00:00
2023-08-23,2019-01-01,2023-08-22T23:00:00,40680,17520,True,2021-08-23T00:00:00
2023-08-24,2019-01-01,2023-08-23T23:00:00,40704,17520,True,2021-08-24T00:00:00
2023-08-25,2019-01-01,2023-08-24T23:00:00,40728,17520,True,2021-08-25T00:00:00
2023-08-26,2019-01-01,2023-08-25T23:00:00,40752,17520,True,2021-08-26T00:00:00
