station,horizon,delta_skill_mean,delta_skill_ci95_low,delta_skill_ci95_high
porrlaoise co laois,3,-0.0175,-0.0426,0.0114
porrlaoise co laois,4,-0.0159,-0.0393,0.0062
porrlaoise co laois,5,-0.0131,-0.0345,0.006
porrlaoise co laois,6,-0.0129,-0.0283,0.008
porrlaoise co laois,7,-0.007,-0.0265,0.0173
porrlaoise co laois,8,-0.0066,-0.0285,0.0248
porrlaoise co laois,9,0.0124,-0.0053,0.0282
porrlaoise co laois,10,0.0227,0.0011,0.05
porrlaoise co laois,11,0.0385,0.0177,0.0605
porrlaoise co laois,12,0.0293,0.0036,0.054
porrlaoise co laois,13,0.0321,0.0041,0.0582
porrlaoise co laois,14,0.0454,0.023,0.0724
porrlaoise co laois,15,0.0258,-0.016,0.07
porrlaoise co laois,16,0.031,-0.011,0.0729
porrlaoise co laois,17,0.0329,-0.0218,0.0859
porrlaoise co laois,18,0.0216,-0.0189,0.075
porrlaoise co laois,19,0.0469,-0.0159,0.1129
porrlaoise co laois,20,-0.0105,-0.0591,0.0485
porrlaoise co laois,21,0.0369,0.0125,0.0738
porrlaoise co laois,22,0.0277,0.003,0.0567
porrlaoise co laois,23,0.0056,-0.0273,0.0548
porrlaoise co laois,24,0.0177,-0.0149,0.0588
